=== AUDIT LOG INITIATED 2026-05-19T22:15:27.990Z ===
[1:15:28 AM] 🚀 BOT STARTING — Mode: DEMO | Strategy: BOTH5 | Base Stake: $0.35
[1:15:28 AM] 🎯 Active Market Locked: V50 (Opening Balance: $10000.00)
[1:15:28 AM] 🔄 Market shift: Locking onto signal on market V75
[1:15:28 AM] 📊 [TICK EVAL] V75 | Phase: NORMAL | Dominance Met: YES (73.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:28 AM] 💸 [TRADE OUTCOME] Market: V75 | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.80x | session P&L: $-0.35 | Mathematical Expectancy: $-0.3500
[1:15:28 AM] 🔄 Market shift: Locking onto signal on market V50 (1s)
[1:15:28 AM] 📊 [TICK EVAL] V50 (1s) | Phase: NORMAL | Dominance Met: YES (65.3% vs 65%, side: UNDER) | D5 Passed: YES (2.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:28 AM] 💸 [TRADE OUTCOME] Market: V50 (1s) | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: NORMAL | Stake Multiplier: 0.60x | session P&L: $-0.70 | Mathematical Expectancy: $-0.3500
[1:15:28 AM] 🔄 Market shift: Gravitating to highest meta-scored market V50
[1:15:28 AM] 📊 [TICK EVAL] V50 | Phase: NORMAL | Dominance Met: YES (71.1% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:28 AM] 🔄 Market shift: Locking onto signal on market V75
[1:15:28 AM] 📊 [TICK EVAL] V75 | Phase: NORMAL | Dominance Met: YES (73.3% vs 65%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (2/6) | Verdict: 🚀 FIRE TRADE
[1:15:28 AM] 💸 [TRADE OUTCOME] Market: V75 | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: CAUTION | Stake Multiplier: 0.40x | session P&L: $-1.05 | Mathematical Expectancy: $-0.3500
[1:15:28 AM] 📊 [TICK EVAL] V75 | Phase: CAUTION | Dominance Met: YES (73.3% vs 70%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: YES | Streak Filter: YES (0/6) | Verdict: 🚀 FIRE TRADE
[1:15:28 AM] ⚠️ Market V75 quarantine activated (3 consecutive losses). Score deducted by 5.
[1:15:28 AM] 💸 [TRADE OUTCOME] Market: V75 | Result: ❌ LOSS ($-0.35) | Stake: $0.35 | Active Phase: DEFENSIVE | Stake Multiplier: 0.40x | session P&L: $-1.40 | Mathematical Expectancy: $-0.3500
[1:15:28 AM] 🔄 Market shift: Gravitating to highest meta-scored market V50
[1:15:28 AM] 📊 [TICK EVAL] V50 | Phase: DEFENSIVE | Dominance Met: NO (71.1% vs 75%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:28 AM] 📊 [TICK EVAL] V50 | Phase: DEFENSIVE | Dominance Met: NO (71.1% vs 75%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:28 AM] 📊 [TICK EVAL] V50 | Phase: DEFENSIVE | Dominance Met: NO (71.1% vs 75%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
[1:15:28 AM] 📊 [TICK EVAL] V50 | Phase: DEFENSIVE | Dominance Met: NO (71.1% vs 75%, side: UNDER) | D5 Passed: YES (10.0%) | Exhaustion: NO | Streak Filter: YES (1/6) | Verdict: ⏳ SKIP
